,id,app_name,genres,tags,specs,combined_features
46,433640,breaknecksoundtrack,action,action,singleplayer,action action singleplayer
47,714770,codumentary,none,movie,none,none movie none
48,428602,dariusburst chronicle savioursrayforce,action,action,singleplayer,action action singleplayer
49,384090,sketch tales,action,early access,singleplayer,action early access singleplayer
50,389230,fish or die,casual,strategy,singleplayer,casual strategy singleplayer
51,464900,pitfall planet,adventure,casual,shared/split screen,adventure casual shared/split screen
52,521330,tuebor i will defend,action,early access,multiplayer,action early access multiplayer
53,298600,lovely planet,action,indie,singleplayer,action indie singleplayer
54,638000,carried away,casual,early access,singleplayer,casual early access singleplayer
55,260270,shadows price for our sins bonus edition,adventure,casual,singleplayer,adventure casual singleplayer
56,587170,doa5lr alluring mandarin dress set,action,action,singleplayer,action action singleplayer
57,455350,homefront the revolutionthe guerrilla care package,action,action,singleplayer,action action singleplayer
58,723200,hentaisoundtrack of the year soty,action,action,singleplayer,action action singleplayer
59,550070,multimirrorsoundtrack,casual,indie,singleplayer,casual indie singleplayer
60,487610,zionsoundtracks,action,action,singleplayer,action action singleplayer
61,331910,beach resort simulator,simulation,simulation,singleplayer,simulation simulation singleplayer
62,8190,just cause 2,action,open world,singleplayer,action open world singleplayer
63,369580,notgtav,casual,memes,singleplayer,casual memes singleplayer
64,250660,bunny must die chelsea and the 7 devils,action,metroidvania,singleplayer,action metroidvania singleplayer
65,261410,episode 21sleeping beauty,casual,indie,singleplayer,casual indie singleplayer
66,540130,why just one,none,documentary,captions available,none documentary captions available
67,479140,framed wings,adventure,adventure,singleplayer,adventure adventure singleplayer
68,648340,harald a game of influence,strategy,strategy,singleplayer,strategy strategy singleplayer
69,366270,shock troopers,action,action,singleplayer,action action singleplayer
70,366800,mainland,adventure,free to play,singleplayer,adventure free to play singleplayer
71,576420,the curse of yendor,action,adventure,singleplayer,action adventure singleplayer
72,722090,blue snake adventures master level,action,action,singleplayer,action action singleplayer
73,419610,sculpting and rendering a biomech creature bust,none,designillustration,none,none designillustration none
74,717910,bubble rush,action,action,singleplayer,action action singleplayer
75,342819,rocksmith 2014 dinosaur jrfeel the pain,casual,casual,singleplayer,casual casual singleplayer
76,394380,battlestick,action,free to play,multiplayer,action free to play multiplayer
77,258417,rocksmith 2014 oasislive forever,casual,casual,singleplayer,casual casual singleplayer
78,269590,claustrophobia the downward struggle,indie,early access,singleplayer,indie early access singleplayer
79,388680,unfinishedan artists lament,adventure,adventure,singleplayer,adventure adventure singleplayer
80,266250,procyon,action,indie,singleplayer,action indie singleplayer
81,637775,rocksmith 2014 edition remastered nofxseeing double at the triple rock,casual,casual,singleplayer,casual casual singleplayer
82,283811,frozen cortexsoundtrack dlc,indie,strategy,singleplayer,indie strategy singleplayer
83,517140,polycrusher,action,indie,multiplayer,action indie multiplayer
84,452600,red 2,none,movie,captions available,none movie captions available
85,465440,aplowcalypse,action,free to play,singleplayer,action free to play singleplayer
86,429907,mx vs atv supercross encore2015 husqvarna fc 450 mx,racing,racing,singleplayer,racing racing singleplayer
87,523240,colorful the movie,none,anime,none,none anime none
88,253250,stonehearth,indie,early access,singleplayer,indie early access singleplayer
89,242640,styx master of shadows,action,stealth,singleplayer,action stealth singleplayer
90,728650,crystals of niberium,adventure,adventure,singleplayer,adventure adventure singleplayer
91,317540,bionic heart 2 bonus content,adventure,adventure,singleplayer,adventure adventure singleplayer
92,366460,pavel quest,action,action,singleplayer,action action singleplayer
93,525441,rpg maker vx acemedieval music pack,design amp illustration,designillustration,downloadable content,design amp illustration designillustration downloadable content
94,416180,gun bombers,action,action,singleplayer,action action singleplayer
95,645850,fantasy groundsonline gaming pack 8 undeadoozes token pack,indie,strategy,multiplayer,indie strategy multiplayer
96,717600,viewpointsplatinum edition,casual,indie,singleplayer,casual indie singleplayer
97,348210,adventurer managerendless tower,adventure,adventure,singleplayer,adventure adventure singleplayer
98,294934,rocksmith 2014 godsmackawake,casual,casual,singleplayer,casual casual singleplayer
99,4560,company of heroeslegacy edition,action,strategy,singleplayer,action strategy singleplayer
100,421110,awake,adventure,early access,singleplayer,adventure early access singleplayer
101,274920,facerig,animation amp modeling,animationmodeling,steam achievements,animation amp modeling animationmodeling steam achievements
102,637795,rocksmith 2014 edition remastered steve miller bandrockn me,casual,casual,singleplayer,casual casual singleplayer
103,41800,gratuitous space battles,indie,strategy,singleplayer,indie strategy singleplayer
104,541370,clickdraw clicker,action,casual,singleplayer,action casual singleplayer
105,372870,car mechanic simulator 2015visual tuning,simulation,simulation,singleplayer,simulation simulation singleplayer
106,769080,the little war,action,action,multiplayer,action action multiplayer
107,494523,fsx steam edition csa sportcruiser addon,simulation,simulation,singleplayer,simulation simulation singleplayer
108,723890,dont make love,casual,indie,singleplayer,casual indie singleplayer
109,394420,golden rushassassin hero,action,action,multiplayer,action action multiplayer
110,328110,shelter soundtrack,adventure,adventure,singleplayer,adventure adventure singleplayer
111,514290,factory engineer,indie,simulation,singleplayer,indie simulation singleplayer
112,366122,odallus red gargoyle skin,action,action,singleplayer,action action singleplayer
113,561680,santas christmas solitaire,casual,strategy,singleplayer,casual strategy singleplayer
114,257750,bloody trapland,action,platformer,singleplayer,action platformer singleplayer
115,337880,one late night deadline,adventure,indie,singleplayer,adventure indie singleplayer
116,537159,fourchords guitar karaokeselena gomez song pack,casual,indie,singleplayer,casual indie singleplayer
117,386640,affected zone tactics,free to play,free to play,singleplayer,free to play free to play singleplayer
118,575640,zup 3,casual,casual,singleplayer,casual casual singleplayer
119,512370,hero boy,indie,indie,singleplayer,indie indie singleplayer
120,515260,virtual rides 3funfair simulator,casual,simulation,singleplayer,casual simulation singleplayer
121,208460,tryst,action,strategy,singleplayer,action strategy singleplayer
122,543810,pixel puzzles ultimatepuzzle pack aki,action,strategy,singleplayer,action strategy singleplayer
123,576310,oracle,adventure,adventure,singleplayer,adventure adventure singleplayer
124,609825,fsx steam edition north american b45 tornado addon,simulation,simulation,singleplayer,simulation simulation singleplayer
125,524300,apocalypse pack,action,action,singleplayer,action action singleplayer
126,637700,rocksmith 2014 edition remastered spin doctorslittle miss cant be wrong,casual,casual,singleplayer,casual casual singleplayer
127,502842,pixel puzzles ultimatepuzzle pack autumn,action,strategy,singleplayer,action strategy singleplayer
128,312530,duck game,action,multiplayer,singleplayer,action multiplayer singleplayer
129,274290,gods will be watching,adventure,indie,singleplayer,adventure indie singleplayer
130,230410,warframe,action,free to play,singleplayer,action free to play singleplayer
131,285820,action henk,action,racing,singleplayer,action racing singleplayer
132,496290,deep dark dungeon,action,early access,singleplayer,action early access singleplayer
133,349939,dw8e original costume pack,action,action,singleplayer,action action singleplayer
134,45500,clickr,casual,indie,singleplayer,casual indie singleplayer
135,537020,legions of tyrandel,strategy,strategy,singleplayer,strategy strategy singleplayer
136,232010,euro truck simulator,indie,simulation,singleplayer,indie simulation singleplayer
137,433080,xcom 2 anarchys children,strategy,strategy,singleplayer,strategy strategy singleplayer
138,454340,serafinas crownoriginal soundtrack,adventure,adventure,singleplayer,adventure adventure singleplayer
139,205541,gratuitous tank battlesthe western front,strategy,strategy,singleplayer,strategy strategy singleplayer
140,471920,panpan,adventure,adventure,singleplayer,adventure adventure singleplayer
141,107100,bastion,action,great soundtrack,singleplayer,action great soundtrack singleplayer
142,625172,europa universalis iv preorder pack,simulation,strategy,singleplayer,simulation strategy singleplayer
143,629280,run away,adventure,adventure,singleplayer,adventure adventure singleplayer
144,591492,pixel puzzles ultimatepuzzle pack landscapes xl,action,strategy,singleplayer,action strategy singleplayer
145,450710,cyberlink powerdvd 16 ultra,utilities,utilities,none,utilities utilities none
146,619280,gloom,action,indie,singleplayer,action indie singleplayer
147,901805,saints row the third season pass dlc pack,action,action,singleplayer,action action singleplayer
148,675950,peninsular war battles,strategy,strategy,singleplayer,strategy strategy singleplayer
149,698320,nanoscape,action,action,singleplayer,action action singleplayer
150,206146,rocksmithqueenkeep yourself alive,casual,casual,singleplayer,casual casual singleplayer
151,719080,fart simulator 2018,action,indie,singleplayer,action indie singleplayer
152,539280,tetraminos,casual,casual,singleplayer,casual casual singleplayer
153,426999,hyperdevotion noire ultimate generia g set,strategy,strategy,singleplayer,strategy strategy singleplayer
154,608720,ticket ost,action,action,singleplayer,action action singleplayer
155,564160,rosenkreuzstilette freudenstachel,action,indie,singleplayer,action indie singleplayer
156,500370,anno 2205orbit,simulation,simulation,singleplayer,simulation simulation singleplayer
157,20540,company of heroes tales of valor,strategy,strategy,singleplayer,strategy strategy singleplayer
158,548730,fantasy groundsminidungeon 007 the pententieyrie 5e,indie,strategy,multiplayer,indie strategy multiplayer
159,474010,the nadi project,adventure,free to play,singleplayer,adventure free to play singleplayer
160,485350,winter novel,casual,indie,singleplayer,casual indie singleplayer
161,418310,chronicles of a dark lord rhapsody clash,casual,indie,singleplayer,casual indie singleplayer
162,670460,magix video deluxe 2017 steam edition,video production,video production,none,video production video production none
163,714050,undead,action,action,multiplayer,action action multiplayer
164,360095,fantasy groundsdd druid class pack,indie,strategy,multiplayer,indie strategy multiplayer
165,528053,tales of berseriamaidbutler costumes set,action,action,singleplayer,action action singleplayer
166,688272,blue reflectionvacation style set e rin kaori rika,rpg,rpg,singleplayer,rpg rpg singleplayer
167,274880,jet car stunts,indie,racing,singleplayer,indie racing singleplayer
168,394040,aipdsoundtrack,action,action,singleplayer,action action singleplayer
169,10195,call of duty modern warfare 2 stimulus package,action,action,multiplayer,action action multiplayer
170,293180,overcastwalden and the werewolf,action,horror,singleplayer,action horror singleplayer
171,485690,hope lake,adventure,hidden object,singleplayer,adventure hidden object singleplayer
172,323650,blackhole complete edition upgrade,action,action,singleplayer,action action singleplayer
173,529110,awkward dimensions redux,adventure,free to play,singleplayer,adventure free to play singleplayer
174,227940,heroesgenerals,action,free to play,multiplayer,action free to play multiplayer
175,383240,angels that kill,adventure,adventure,singleplayer,adventure adventure singleplayer
176,527800,war cube,casual,indie,singleplayer,casual indie singleplayer
177,273680,poof soundtrack,action,indie,singleplayer,action indie singleplayer
178,238460,battleblock theater,action,comedy,singleplayer,action comedy singleplayer
179,698030,comit the astrodian 3,indie,indie,singleplayer,indie indie singleplayer
180,24029,train simulator coltonnorthern route addon,simulation,simulation,singleplayer,simulation simulation singleplayer
181,350550,areax,adventure,indie,singleplayer,adventure indie singleplayer
182,306160,dead bits soundtrack,action,action,singleplayer,action action singleplayer
183,259980,you dont know jack vol 4 the ride,casual,casual,singleplayer,casual casual singleplayer
184,419948,ggxrd extra color palettesfaust,action,action,singleplayer,action action singleplayer
185,536576,fsx steam edition fair dinkum flights addon,simulation,simulation,singleplayer,simulation simulation singleplayer
186,560582,siralim 2higher skin drop rate cosmetic only,indie,indie,singleplayer,indie indie singleplayer
187,415540,fantasy groundscall of cthulhu canis mysterium,indie,rpg,multiplayer,indie rpg multiplayer
188,222180,mushroom men truffle trouble,action,indie,singleplayer,action indie singleplayer
189,210052,street fighter x tekken lili swap costume,action,action,singleplayer,action action singleplayer
190,202200,galactic civilizations ii ultimate edition,strategy,strategy,singleplayer,strategy strategy singleplayer
191,696060,live,action,indie,singleplayer,action indie singleplayer
192,692080,battlestar galactica deadlock reinforcement pack,strategy,strategy,singleplayer,strategy strategy singleplayer
193,339110,plith,casual,indie,singleplayer,casual indie singleplayer
194,542590,soulsaveronline,free to play,free to play,online multiplayer,free to play free to play online multiplayer
195,623320,button button,action,early access,singleplayer,action early access singleplayer
196,361350,skyhook,action,action,singleplayer,action action singleplayer
197,714720,jam studio vrbeamz original classical bundle,casual,casual,singleplayer,casual casual singleplayer
198,257510,the talos principle,action,puzzle,singleplayer,action puzzle singleplayer
199,421390,pi,none,movie,captions available,none movie captions available
200,430316,mx vs atv supercross encore2015 suzuki rmz250 mx,racing,simulation,singleplayer,racing simulation singleplayer
201,448570,origin of destiny crimson awakening,adventure,early access,singleplayer,adventure early access singleplayer
202,525050,artisan going home again,casual,indie,singleplayer,casual indie singleplayer
203,407120,soccer manager 2016,free to play,free to play,singleplayer,free to play free to play singleplayer
204,711740,football manager touch 2018no transfer windows,simulation,simulation,singleplayer,simulation simulation singleplayer
205,9060,hexen ii,action,action,singleplayer,action action singleplayer
206,323280,sea legends phantasmal light collectors edition,casual,casual,singleplayer,casual casual singleplayer
207,416421,naruto shippuden ultimate ninja storm 4gaaras tale extra scenario pack,action,adventure,singleplayer,action adventure singleplayer
208,208361,train simulator union pacific big boy loco addon,simulation,simulation,singleplayer,simulation simulation singleplayer
209,643130,fantasy groundsbasic magic brp,indie,indie,multiplayer,indie indie multiplayer
210,390441,rocksmith 2014 the offspringyoure gonna go far kid,casual,casual,singleplayer,casual casual singleplayer
211,501172,pixel puzzles ultimatepuzzle pack montana,casual,indie,singleplayer,casual indie singleplayer
212,319730,granado espada,action,free to play,singleplayer,action free to play singleplayer
213,477990,fantasy groundspulp themed maps,indie,strategy,multiplayer,indie strategy multiplayer
214,9030,quake mission pack 2 dissolution of eternity,action,action,singleplayer,action action singleplayer
215,390383,rocksmith 2014 hit singles song pack ii,casual,casual,singleplayer,casual casual singleplayer
216,543470,trillion god of destructiondeluxe pack,rpg,strategy,singleplayer,rpg strategy singleplayer
217,294957,rocksmith 2014 deftones song pack,casual,casual,singleplayer,casual casual singleplayer
218,350280,lawbreakers,action,action,multiplayer,action action multiplayer
219,427006,hyperdevotion noire ultimate member if,strategy,strategy,singleplayer,strategy strategy singleplayer
220,482730,football manager 2017,simulation,sports,singleplayer,simulation sports singleplayer
221,520320,hero siegemaniac viking skin,action,action,singleplayer,action action singleplayer
222,97362,magic 2013 born of flame deck key,strategy,strategy,singleplayer,strategy strategy singleplayer
223,242820,140,action,platformer,singleplayer,action platformer singleplayer
224,422181,drod journey to rooted hold,adventure,strategy,singleplayer,adventure strategy singleplayer
225,507050,dogos,action,action,singleplayer,action action singleplayer
226,543730,fantasy groundscc a8 forsaken mountain,indie,strategy,multiplayer,indie strategy multiplayer
227,356160,the emptiness deluxe edition,adventure,casual,singleplayer,adventure casual singleplayer
228,638040,gina yashere skinny btch,none,movie,captions available,none movie captions available
229,457200,ticket to rideunited kingdom,casual,strategy,singleplayer,casual strategy singleplayer
230,222590,train simulator great northern f7 empire builder loco addon,simulation,simulation,singleplayer,simulation simulation singleplayer
231,549470,robotpencil presents speed painting from abstract shapes,none,designillustration,none,none designillustration none
232,659180,medieval mystery match,casual,casual,singleplayer,casual casual singleplayer
233,261920,catzilla 4kadvanced,utilities,benchmark,singleplayer,utilities benchmark singleplayer
234,655270,eponymous,adventure,indie,singleplayer,adventure indie singleplayer
235,540880,rose of winter,casual,casual,singleplayer,casual casual singleplayer
236,678410,chimeras the signs of prophecy collectors edition,adventure,adventure,singleplayer,adventure adventure singleplayer
237,398140,ino,adventure,adventure,singleplayer,adventure adventure singleplayer
238,590199,rocksmith 2014 edition remastered bob marleythe wailersbuffalo soldier,casual,casual,singleplayer,casual casual singleplayer
239,497560,crimson sword saga the peloran wars,indie,rpg,singleplayer,indie rpg singleplayer
240,295091,rocksmith 2014 linkin parkone step closer,casual,casual,singleplayer,casual casual singleplayer
241,400770,solar shifter exsoundtrack,action,action,singleplayer,action action singleplayer
242,667240,vintage hero,indie,indie,singleplayer,indie indie singleplayer
243,361500,niko through the dreamsoundtrack,adventure,adventure,singleplayer,adventure adventure singleplayer
244,541600,eddie griffinfreedom of speech,none,movie,captions available,none movie captions available
245,647490,josh blue sticky change,none,movie,captions available,none movie captions available
246,343423,agarest 2bundle 5,adventure,strategy,singleplayer,adventure strategy singleplayer
247,258851,hivethe ladybug,casual,strategy,singleplayer,casual strategy singleplayer
248,525470,gstyle modern city resource pack vol1,animation amp modeling,animationmodeling,singleplayer,animation amp modeling animationmodeling singleplayer
249,653721,rpg maker mvparanormal monsters,design amp illustration,designillustration,downloadable content,design amp illustration designillustration downloadable content
250,212010,galaxy on fire 2 full hd,action,space,singleplayer,action space singleplayer
251,543670,fantasy groundsdd map pack volume 1,indie,strategy,multiplayer,indie strategy multiplayer
252,259080,just cause 2 multiplayer mod,action,open world,singleplayer,action open world singleplayer
253,372210,spooky cats,action,action,singleplayer,action action singleplayer
254,567690,songs of araiah remastered edition,adventure,adventure,singleplayer,adventure adventure singleplayer
255,97387,duels 2013 grinning malice foil conversion,strategy,strategy,singleplayer,strategy strategy singleplayer
256,517290,just desertsswimwear set,casual,strategy,singleplayer,casual strategy singleplayer
257,728440,next,casual,casual,singleplayer,casual casual singleplayer
258,218740,pid,adventure,indie,singleplayer,adventure indie singleplayer
259,317100,republique,action,stealth,singleplayer,action stealth singleplayer
260,535740,fourchords guitar karaokeonerepublic song pack,casual,indie,singleplayer,casual indie singleplayer
261,563284,fourchords guitar karaokeedm essentials iii,casual,indie,singleplayer,casual indie singleplayer
262,347270,knights of the sky,action,action,singleplayer,action action singleplayer
263,687500,baldurs gate faces of good and evil,rpg,rpg,singleplayer,rpg rpg singleplayer
264,667590,fjord battle racing,racing,early access,local multiplayer,racing early access local multiplayer
265,533040,dark parables the thief and the tinderbox collectors edition,adventure,casual,singleplayer,adventure casual singleplayer
266,275290,graviteam tactics operation star,strategy,strategy,singleplayer,strategy strategy singleplayer
267,304240,resident evil biohazard hd remaster,action,survival horror,singleplayer,action survival horror singleplayer
268,459280,baldurs gate enhanced edition official soundtrack,rpg,strategy,singleplayer,rpg strategy singleplayer
269,324080,rising world,action,early access,singleplayer,action early access singleplayer
270,553760,einlanzer,rpg,rpg,singleplayer,rpg rpg singleplayer
271,204308,awesomenautshotrod derpl skin,action,strategy,singleplayer,action strategy singleplayer
272,230820,the night of the rabbit,adventure,adventure,singleplayer,adventure adventure singleplayer
273,539103,ava alliance of valiant arms rifleman pack,action,action,multiplayer,action action multiplayer
274,537100,shuffle,adventure,anime,singleplayer,adventure anime singleplayer
275,705550,burgle bros,adventure,adventure,singleplayer,adventure adventure singleplayer
276,357910,questevent,action,rpgmaker,singleplayer,action rpgmaker singleplayer
277,3610,mystery pilost in los angeles,casual,casual,singleplayer,casual casual singleplayer
278,385250,paint it back,casual,casual,singleplayer,casual casual singleplayer
279,409204,epic character generatorseason 1 modern male,design amp illustration,designillustration,singleplayer,design amp illustration designillustration singleplayer
280,577100,boundel soundtrack by james thorley,indie,rpg,singleplayer,indie rpg singleplayer
281,34315,alien storm,action,action,singleplayer,action action singleplayer
282,283310,soulbringer,rpg,rpg,singleplayer,rpg rpg singleplayer
283,452100,blair witch 2 book of shadows,none,movie,captions available,none movie captions available
284,459640,you and who else,adventure,indie,singleplayer,adventure indie singleplayer
285,466080,surface the pantheon collectors edition,adventure,adventure,singleplayer,adventure adventure singleplayer
286,661360,glitchbuster,action,action,singleplayer,action action singleplayer
287,457100,a legend of lucaofficial game soundtrack,action,action,singleplayer,action action singleplayer
288,215246,sleeping dogstactical soldier pack,action,action,singleplayer,action action singleplayer
289,707000,aw nutz,casual,indie,multiplayer,casual indie multiplayer
290,525920,pro cycling manager 2017,simulation,sports,singleplayer,simulation sports singleplayer
291,358141,halloween debut costume set,action,action,singleplayer,action action singleplayer
292,409910,the storm guard darkness is coming,action,rpg,singleplayer,action rpg singleplayer
293,637797,rocksmith 2014 edition remastered steve miller bandthe joker,casual,casual,singleplayer,casual casual singleplayer
294,326034,ts marketplace sdggmrss taschenwagen wagon pack,simulation,simulation,singleplayer,simulation simulation singleplayer
295,510320,conflict of heroes awakening the bear,simulation,simulation,singleplayer,simulation simulation singleplayer
296,308600,geneshift,action,early access,singleplayer,action early access singleplayer
297,375290,superstatic,action,action,singleplayer,action action singleplayer
298,517190,rebound,action,action,singleplayer,action action singleplayer
299,549450,robotpencil presents 3d coat hard surface basics,none,designillustration,none,none designillustration none
300,430322,mx vs atv supercross encoresquall valley,racing,simulation,singleplayer,racing simulation singleplayer
301,393025,sakura clickerbow weapon,casual,indie,singleplayer,casual indie singleplayer
302,674920,fantasy groundsunderworld racesclasses 5e,indie,strategy,multiplayer,indie strategy multiplayer
303,420160,alphabeats master edition,action,indie,singleplayer,action indie singleplayer
304,273600,descent freespace the great war,action,action,singleplayer,action action singleplayer
305,423367,sport outfit pack,free to play,massively multiplayer,singleplayer,free to play massively multiplayer singleplayer
306,564550,inuyasha,none,action,captions available,none action captions available
307,292220,forced deluxe content,action,action,singleplayer,action action singleplayer
308,263720,brawlout,action,early access,singleplayer,action early access singleplayer
309,370460,arcana heart 3 love max,action,anime,singleplayer,action anime singleplayer
310,205073,bittripvoid soundtrack,action,action,singleplayer,action action singleplayer
311,599800,easy magic,action,action,singleplayer,action action singleplayer
312,702415,eightminute empire isthmus of gom map,casual,strategy,singleplayer,casual strategy singleplayer
313,206157,rocksmithotis reddingsittin on the dock of the bay,casual,casual,singleplayer,casual casual singleplayer
314,271964,rpg maker vx acerural farm tiles resource pack,design amp illustration,designillustration,singleplayer,design amp illustration designillustration singleplayer
315,458750,firealpaca se,design amp illustration,designillustration,steam trading cards,design amp illustration designillustration steam trading cards
316,760300,ender story chapter 1,adventure,adventure,singleplayer,adventure adventure singleplayer
317,578830,cavern of time,adventure,adventure,singleplayer,adventure adventure singleplayer
318,301460,electronic super joy groove city,action,indie,singleplayer,action indie singleplayer
319,504700,blockships,action,early access,local multiplayer,action early access local multiplayer
320,656710,dark snow,action,indie,singleplayer,action indie singleplayer
321,691560,cur3d maker editionpermission for commercial use,animation amp modeling,utilities,downloadable content,animation amp modeling utilities downloadable content
322,240612,motogp13 motogp champions,racing,racing,singleplayer,racing racing singleplayer
323,508990,handsome mr frog,action,action,singleplayer,action action singleplayer
324,261490,bedlam,action,action,singleplayer,action action singleplayer
325,637758,rocksmith 2014 edition remastered bachmanturner overdrivetakin care of business,casual,casual,singleplayer,casual casual singleplayer
326,366450,flying tigers shadows over chinaofficial soundtrack,action,action,downloadable content,action action downloadable content
327,431830,drift into eternity,action,adventure,singleplayer,action adventure singleplayer
328,609800,craft the worlddig with friends,indie,indie,singleplayer,indie indie singleplayer
329,311870,super trench attack,action,action,singleplayer,action action singleplayer
330,443420,artificial defense,action,indie,singleplayer,action indie singleplayer
331,436599,rocksmith 2014 disturbedindestructible,casual,casual,singleplayer,casual casual singleplayer
332,725340,lines free by nestor yavorskyy,casual,indie,singleplayer,casual indie singleplayer
333,464340,syberia 3,adventure,adventure,singleplayer,adventure adventure singleplayer
334,225834,borderlands 2 assassin domination pack,action,action,singleplayer,action action singleplayer
335,537210,candle soundtrack artbook,adventure,adventure,singleplayer,adventure adventure singleplayer
336,901679,magicka party robes,action,action,singleplayer,action action singleplayer
337,573690,adelantado trilogy book three,adventure,strategy,singleplayer,adventure strategy singleplayer
338,381000,6 nights,casual,indie,singleplayer,casual indie singleplayer
339,521210,timore 5,indie,indie,singleplayer,indie indie singleplayer
340,765190,大逃亡专家土豆车escapeexpertpotato car,adventure,strategy,singleplayer,adventure strategy singleplayer
341,291640,mirror mysteries 2,adventure,adventure,singleplayer,adventure adventure singleplayer
342,744420,adventures of pipi,adventure,adventure,singleplayer,adventure adventure singleplayer
343,354500,payday the web series,none,action,none,none action none
344,322040,cooking academy fire and knives,action,casual,singleplayer,action casual singleplayer
345,419475,ggxrd system voicemay,action,action,singleplayer,action action singleplayer
346,519080,soda girls,action,early access,singleplayer,action early access singleplayer
347,462140,trainz route settle and carlisle,simulation,simulation,singleplayer,simulation simulation singleplayer
348,503270,toxikkupgradefree edition to full game,action,action,singleplayer,action action singleplayer
349,582071,fourchords guitar karaokeclassic rock mix 2,casual,indie,singleplayer,casual indie singleplayer
350,200370,a game of dwarves,strategy,strategy,singleplayer,strategy strategy singleplayer
351,680890,where the money is,action,casual,singleplayer,action casual singleplayer
352,405960,sunken,action,action,singleplayer,action action singleplayer
353,687540,tasty planet,action,action,singleplayer,action action singleplayer
354,273830,aviatorbush pilot,action,simulation,singleplayer,action simulation singleplayer
355,691580,maggies moviescamera action,adventure,adventure,singleplayer,adventure adventure singleplayer
356,683993,star realmsunited command,strategy,strategy,singleplayer,strategy strategy singleplayer
357,237870,planet explorers,action,sandbox,singleplayer,action sandbox singleplayer
358,295550,royal quest,free to play,free to play,mmo,free to play free to play mmo
359,320989,fsx steam editionvfr real scenery vol 1 se england,simulation,simulation,singleplayer,simulation simulation singleplayer
360,253570,gentlemen,action,indie,shared/split screen,action indie shared/split screen
361,49300,commander conquest of the americas,strategy,strategy,singleplayer,strategy strategy singleplayer
